 Kd 8d Th Qd Qc] [ 4h Ks Tc Qh 2d 4d 2c 4c 5h 6c 2s 9c 5d Ts Js 5s Ah 3d 7c 9h Kc 6d 3c 8s 3s 6s Kh Ac Jc Qs 9d 3h 7h 9s 7s 6h Jd 8c Td 4s Jh Ad 7d 2h 5c 8h As];[Qc, Qd, Th, 4h, null];null;null;b1[r:12,66] Hero[f:86,13] ;null;{4} ;-4;b1[6h, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h 3c 4d 4c 2d Jd 6h Jc 3h 6d 5c Qs Kc 7c Ac 6c 5d 8c 3s 4s As Ad Td 4h Ts 2c 9s 7h 5h 2s Tc 6s Ah Ks 8h Qh 9c 5s 7d 7s Js Kh Jh 3d 9d 8s 2h];[Qc, Qd, Th, 9h, 3c];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(10) ;-4;b1[9d, Ad]12871;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Jh 6d 2d As Ts Qs Kc 7s Td 4s 3c Ac 7c 2s 6h 3s 6c 3h 5s 4h 7h Jc 5h 5c 6s 4c 8h 9s Jd 4d 9d 8c Kh Tc 5d 2c 7d 3d 9h Qh Ah 8s 2h Js Ks Ad 9c];[Qc, Qd, Th, Jh, null];null;null;b1[r:13,9] Hero[r:6,79] b1[f:13,9] ;null;Hero{10} ;10;b1[6s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 9s 8h Kc 9d Qs 5s 3d 5d 5h 2h 6h As 2s Ah Kh 9h 9c Ks Ac 2c Ts Qh 3c Jd Jh Jc 4d 3s 6c Ad 6d 4s 3h 7h 7d 8c 8s 6s 4h 2d Tc 5c 7s 7c 4c Js];[Qc, Qd, Th, Td, 9s];null;null;b1[c:13,9] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;Hero(10) ;10;b1[3d, 6d]12879;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 6h 2s 4c 9h 5d 4h Ks Qs 9c Ts 5h Ac Jh 5s Jd 2d 3d Ad 8h 9s 7c Kc 3h 8c Td 4d 3c 8s Kh Js Qh 3s 6s As 2h 4s 7d Tc 9d 6d Ah 7s 6c Jc 7h 5c 2c];[Qc, Qd, Th, 6h, 2s];null;null;b1[c:12,66] Hero[r:6,79] b1[r:12,66] Hero[r:86,13] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(34) ;-16;b1[7h, 6d]12835;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 4s 2c Jd 5d 6d 7s 8h 9s 4c Tc 3d 5s Kc Ac 6s 7c 6h 8s Qh 3h Ts 3c 4h 5h Jh Js 2h 7h Ad 2s 8c Jc Td Ks 9c 4d 9d 9h 2d Kh 7d Ah 5c 3s 6c As Qs];[Qc, Qd, Th, 4s, 2c];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;Hero(6) ;6;b1[3d, Kc]10543;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Ad 2s 9c 7c 9s 8c 4h 4c Ts 5c 5h 6h 4s Js 5d 2d 8h 7d 9h 3d 8s 2h 6d 3s Jh Tc 9d 3c 6s 3h Jc Ks Qs As Ac 5s 4d Qh 7h 7s 2c Td Kc Ah Kh 6c Jd];[Qc, Qd, Th, Ad, 2s];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,17] b1[f:89,10] ;Hero{6} ;6;b1[6d, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh 2d Jd 8s 9c Js Tc 9d Ad 9h 9s 6d Ts 6h 4d 5d 3d 3c 2c 8c 7d 5h Kh 2s Ah 3h 7s Ac 7h Ks 4h 3s Qh 8h Qs 6c As 5c Kc 6s 7c 4c 4s 2h Td Jc 5s];[Qc, Qd, Th, Jh, 2d];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(10) ;-4;b1[5s, Ac]10602;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 2h 4h 8h 9c 5s Td 6c 7h Kh 9s 3d Ad Ah Kc 6s Ts 5h 2s Jc Ac 8s 6d 8c 3s 7s Js 9h 6h 5d 3c 5c Tc 4s 2d 2c 3h 4d 7d Jh Qs Jd 9d 4c As Ks 7c Qh];[Qc, Qd, Th, 2h, 4h];null;null;b1[c:13,9] Hero[c:6,79] ;b1[c:4,5] Hero[r:0,77] b1[f:89,10] ;Hero{6} ;6;b1[7c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 7s 3c 9c As 9d 4h Kc Qs Ah 5c 2h 7h Qh 6d 7d 2s 9s Js 3s 7c 8c Ks 4s Jh 3h Td 5s 2d 9h Jd 4c 8s 8h 2c 5d Ac 5h 4d Tc 6h Ts 3d 6s Kh Ad 6c];[Qc, Qd, Th, Jc, 7s];null;null;b1[r:12,66] Hero[c:0,27] ;b1[r:14,64] Hero[f:92,7] ;{8} ;-8;b1[Ah, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 2c 4s 7h 9c 7s 5s Jc 7d 9d 9h Js 6h 2d Jd Td 2s 3c Ks 2h 8s Qh Qs 8c 3s 6d Tc 8h As 4c 4h 4d 7c 6c 9s 3h 5h Ts Ac Jh 5d Ah Kc Kh Ad 5c 6s];[Qc, Qd, Th, 3d, 2c];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:14,64] Hero[c:0,17] ;b1(10) ;-4;b1[9h, Kh]10548;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 4c 2h Jd 7h 6c 9c Kc 5d 6s 7d Jh Ad 5s 8h 3s 2c 3h 5h 4h 9h Kh 3c 8s 4d Ah 7c 7s Ks Tc Qh Js Td 2s Jc 3d 9d 2d 6d 8c Qs Ac 6h 4s 5c As Ts 9s];[Qc, Qd, Th, 4c, 2h];null;null;b1[c:13,9] Hero[c:6,79] ;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(18) ;-8;b1[6s, 6d]12835;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 3d 9d Ad 9h 2d 9s Kc Ts Ac 8h 6c 2c 8c 3s Ks Ah 4s 6h 4d 5d Qh Js 6d 7d 2h Qs 5c Tc 6s Jh 4h 8s Jd 3c 7h 5s As 2s 7c 5h 3h Td Jc Kh 7s 4c 9c];[Qc, Qd, Th, 3d, 9d];null;null;b1[c:13,9] Hero[c:0,27] ;b1[r:14,64] Hero[c:0,17] ;Hero(10) ;10;b1[5s, 8s]10476;b2;Hero[8d, Kd]25293;b0
 Kd 8d Th Qd Qc] [ 5h Jc 9s Td 9c Kc Jd 2h 8h 6d Jh 4h 9h 7s 4s Qs 5s 6c Ac 3h 2s Ks 6s 2d Js 5c Qh Kh 6h 7d 8c 2c 7c Ah 9d Tc 4c 5d 7h 4d As 3d Ts 8s 3s Ad 3c];[Qc, Qd, Th, 5h, Jc];null;null;b1[c:13,9] Hero[c:0,27] ;b1[r:14,64] Hero[f:92,7] ;{4} ;-4;b1[As, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd Js Kc 5d 7s 8h Ks 4d 3c 9c Ts 3d 4c 3s Ad As Ah 5h 5c Kh 9h 6c 4h 9d 7d 2s 2h Jh 4s 6s Qs Td Ac 7h 2c Qh 6h 9s 7c 3h 6d Jc Tc 2d 5s 8c 8s];[Qc, Qd, Th, Jd, Js];null;null;b1[r:12,66] Hero[c:6,79] ;b1[r:14,64] Hero[c:0,17] ;Hero(14) ;14;b1[7s, 8c]12891;b2;Hero[8d, Kd]12892;b0
 Kd 8d Th Qd Qc] [ 9c Ac Td 8c 2s 3h 4d Js 7c 5d Jd 5h 3d 9d 2c 6h Ad 8h 2d Qh 3c 5s As Kh Ks 4h 7h Ah 6c 7d 5c Ts 9s 6s Jh 9h Tc 2h Jc 4c 6d Kc Qs 4s 7s 8s 3s];[Qc, Qd, Th, 9c, Ac];null;null;b1[c:12,66] Hero[c:0,27] ;b1[r:4,5] Hero[f:92,7] ;{4} ;-4;b1[Qh, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As Jh Kh 6h 7d 9d 9c 5c Qs 4c 3d 3s Js Td Ks 6d 8c Tc 5d 4d 4h 7c 8h 7s 8s Ac Ts 5s 2s Ad 2d Jc 9s 7h 4s 2h 6s 9h Jd 6c 2c Qh Kc 3c 5h 3h Ah];[Qc, Qd, Th, As, null];null;null;b1[r:13,9] Hero[f:86,13] ;null;{4} ;-4;b1[3c, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5c Kh Ts Qs As 8h 3s Jh Jd 3h 2d 6d 9d 7d 7c 7h 9s 2c 9h Ac Ah 2s Ks 4h 8s 7s 5h 5d Qh 3d Tc 8c 2h Kc 5s 4d Td Jc Ad 6s 6h 6c Js 4s 4c 3c 9c];[Qc, Qd, Th, 5c, Kh];null;null;b1[r:12,66] Hero[c:6,79] ;b1[c:14,64] Hero[r:0,77] b1[f:89,10] ;Hero{10} ;10;b1[2c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc 3d 8c Ad Ac 3h 2h 6d As Ts Td 6c 5c 5d 4h 7d 7c 2s 3c 9h 4c Qh 7s Js 2c 9d 4d 8s 7h 8h Jd Qs 9s 5s Jh 4s 3s Ah Kh 6s 6h 2d Tc 9c Ks 5h Jc];[Qc, Qd, Th, Kc, null];null;null;b1[c:13,9] Hero[r:6,79] b1[f:12,66] ;null;Hero{6} ;6;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c As 3h Td 7s 2d 6s 3c 6d Ah Tc 6c Ts 9d 4d Jd Js 3d Ac 7c Jh 6h 5c Kh 9s Qs 5h 2h 9c Ad 8c 4c 9h 4s 2s Kc 8s 8h Ks 5s Jc 7h 4h 5d Qh 3s 7d];[Qc, Qd, Th, 2c, As];null;null;b1[c:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,77] ;Hero(6) ;6;b1[7d, Jd]10602;b2;Hero[8d, Kd]10611;b0
