 Kd 8d Qs Th Qd Qc] [ 9s 5s Td Js 3h Jh 7c 9h 9c 7h 6d 7s 6s 2d Jc 8h 5d 4d 6c 6h Kh 4h 3s 3c 2s As Qh 8s 5h Tc 3d 4c Ts 7d 2c Jd 9d Ah 4s Ks Ad Ac 5c 2h 8c Kc];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[9s, Js]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 8c Kh 2d 7h Ad Kc Td 4c 5c Js 4h Ah 4d 6s Jh 3d 3c Ks As Ac 2h 6h 8h 3s Jd 9h Ts Jc 6c 7s 2s Tc 5d 9c 3h 7d 5s 9d 4s 6d Qh 7c 9s 8s 5h];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js 6s Qh 4s Ah 2h 3d 7h 7s As Kh 6h 3s 8c Tc 7d 3c Ks 2d Jh 5h Jd 4c Jc 6c 2c 7c 5d 9c 3h 2s 4d 9d 9h 9s Ac Kc 8h Ts 5s 8s Td 5c 4h 6d Ad];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[6s, 6h]28797;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5d 6s 5s 7s 7d Ac 6d 3h 2c 9h 9d Ts 2h Jc 3s Ah 4s 9s Qh 5h 3d 5c 4h 3c 8c Jh 7h Kc 2d 4c 8h As Ks Js 2s 8s Kh 6c Tc 6h 4d Ad 7c Jd 9c Td];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[6h, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 3s 3c Ts 4s 9h 9d 2d 6s 9c 5d 7c Qh Kc 4h 2h Jc 6c Kh 9s 5h 8s Js 8c As Ks 3h 8h 5c Td 5s 4c 6d 2c 7s 7d Ad Jd 4d Tc 7h Ac Jh 3d 6h Ah];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 3s 3d 3h 2s 9d Ac 7d Ts Kc 7h Tc 4c Jh 6c 9s 5c 7s 5d Qh As 3c 5s Js Jd 2c 2d 9c 6s Ah 4h 7c 2h 8c Ad 8h 5h Jc 4s 8s 6h Td Ks 4d Kh 6d];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[5s, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh 3h Ts 9h 6h 6s 9d 8h 4h 9s 3s 5d 2s As 5c 6c 2c 3c Tc Jd 4d 7s Kc 2d Jc 7h 8c 6d 5h 4c 7c Ks 7d 4s 2h 3d 8s Js Ah Jh Td Ac Ad 5s Qh 9c];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:8,78] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[6h, Ac]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9c 6h 9s 8s 2s 5h 3h 7h Kh 2d Ac Qh Jc Ah Ad Jh 4s 6d 2c 3d 5s 4c 9h 4d Ks 7d 3s Ts 3c Tc 7s As Kc 8c Jd 2h 6c 4h 6s 5c Js 9d Td 8h 7c 5d];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 4d Kc 4c 9h 2s 8h Ts 5d 2d 3c As 4s Ah 7c Ad Tc Qh 3d Jd 2c Jc 5s 8c 5c 9c 6h Td Ac Ks 8s 3s 9d Js 7h 6d Kh 7d 4h Jh 5h 9s 6c 3h 2h 6s];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:8,78] Hero[r:0,9] b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Qh, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h Jh Ad 3h 9s 2h As 8c Kh 9c Qh Td 2d 4c Ah 7s 9h 6c 6s Js 7d 3c 8h Jc Tc 6h 3s 7c 2s 4d 2c Jd 9d 8s 4h 3d 5d 7h 5s Kc Ts Ac 4s Ks 6d 5c];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[9s, Kh]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 9d 5d 7d 6d 2c 3d 6h 7h 3s Ks 5c Ts Tc 6c Ac 7c 9h 2d Jc Ad Kh 4c 2s 6s 8s 8h 3h Jh 4d 2h 3c 5s As Ah 8c 4s 4h 9s Jd Qh 7s Kc 9c Td Js];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[7d, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc Ad 4c 9d 2s Js 3s Qh 4h Ac 6h 3c 9s 8h 7s 2c Tc 9c 5s 4s 2h Ks Jd Jc 3h 3d 7h Ts 6d 2d 8c Jh 7c 4d 5h 5c 7d 6c 5d 8s Kh 9h 6s As Td Ah];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;12;b1[9c, Tc]28801;b2;Hero[8d, Kd]28803;b0
