 Kd 8d Th Qd Qc] [ Ts 9h 2d 7d Td 9d 6d Kc 2c 3d Js 9c Ah Qs Tc 7s 4s 3s Qh Jd 4c 7h Jc 4d Kh Ks 2s 9s 5c 8c 6s 6c 5s 5d 4h 7c 6h 2h Jh As 3h 8h 3c 8s 5h Ac Ad];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[3s, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts 9d Td Qs 7d Jc Qh Ad Tc 3h Jh 5c 7s 4s 6d 2d 9h Ah 8h 6s 4c 4d 5h 6c 5d As Ac 3d 7h 3s Ks 2s 4h Js 2h Jd 3c 9c 6h Kh 7c 8s 2c 9s 8c 5s Kc];[Qc, Qd, Th, Ts, null];null;b1[c:17,17] ;b1[r:16,57] Hero[f:81,18] ;null;{6} ;-6;b1[8c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks Kh 6d Jh Td 3c 3h 2s 4s Ad Ah 5d 7d 4d Jc Js Kc 4c 7h 3s 4h 9s 5s Jd 5h 9d As 8h 8s 9c 7s 2d Tc 6h 6s Qs 2c 7c Ts 8c 3d Qh 2h 5c 6c Ac 9h];[Qc, Qd, Th, null, null];null;b1[r:17,17] Hero[r:0,37] b1[f:17,17] ;null;null;Hero{10} ;10;b1[Qh, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad As 7d Js 4d 9c 3s Ts Ks 6s 2d 7c 3d Jh Jc 4s 2s 8c 2h 2c 4c 7s 5s 5h 3c Kc Kh 9h 4h Qs 9d Ac 6h Td 3h 5c 8h 6c 8s Qh Ah Jd Tc 6d 5d 9s 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ah, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h 8s 5h 9d 6c Ac 8h Td 7d 9c 7s 2s 3h 9s 6d 4d 2h 7h As Tc Jc 3d 3c Qh 4h Ad Kh 6h Ah 5c 2d 4c Js 2c Jh 6s 5d Ks 7c Jd Kc Ts 8c 4s 3s Qs 5s];[Qc, Qd, Th, 9h, 8s];null;b1[c:17,17] ;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8h, Jc]20488;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ Ah 4s Ks 9s 9d As 5s 6c 5c 8h Qh Qs Ad 3s 6d 6h Ts Kc 4h 3c 7c Kh 3h 5d 9h 8s 4d Ac 2c 6s Jh 2h 2s Jc 2d 3d 7h 7d 9c Jd 7s 5h 4c Js Td Tc 8c];[Qc, Qd, Th, Ah, null];null;b1[r:17,50] Hero[r:0,37] b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[f:18,12] ;null;Hero{12} ;12;b1[Js, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Kh 2s 7d Kc 5s 6c 4d 4h 9h 8h 5c 2c 5d Js 6s 3c 9d 8c Qh Td 6h 3d 5h 6d Jd 2h Ts Ks Ah 3s Jh 3h 7h Tc 9c Qs 8s Jc 4s Ad As 7s 9s 7c 2d 4c];[Qc, Qd, Th, Ac, Kh];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[Jd, Ad]20490;b2;Hero[8d, Kd]13014;b0
 Kd 8d Th Qd Qc] [ 4h 6d 7d 4c 7c 5c 9h Jd Ac 3c Ah 7s Ks Qs 3d 3h Jc 2c Js 4s 8h 2d 5h Jh Ad 2h 9c Td Tc Ts 8c Kh 3s 5d 7h 5s 2s 6s 6h 6c Qh 8s 4d 9d Kc As 9s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h 7d 7h 4d 2h Jd 2s 3h 4s 3c 8c 7s Td 5d 5c Ac Kc Jh 4h Qs 6s 8h 5s 6h Jc 3d Tc As 4c 2d Js Kh 9h 6c Ah Qh 3s 9s Ad 9d Ks 8s 2c 6d Ts 9c 7c];[Qc, Qd, Th, 5h, 7d];null;b1[r:17,17] Hero[c:0,37] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(26) ;-12;b1[Jh, Ad]10602;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 7h Ad 8h Qs 3c 4d 9c 3s Kh 6d 8c Jd 5d Ac Kc 5h 6s 3h 5s Qh 4h Js Td 4s 3d 2d 2s 9h 6h 2c Ah 2h Jc 9d Tc 9s 4c 7d 8s 7s As 5c Ts Ks 7c Jh 6c];[Qc, Qd, Th, 7h, Ad];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[5h, Ah]13133;b2;Hero[8d, Kd]10611;b0
