 Kd 8d Th Qd Qc] [ Kc 4d 7s 7c 6c 4h 3c 3d Qh 5c 9d Js 6d 5d Ad Td 2d 8c 3h Ah 8h 2h Tc Kh Ts 3s 2c 7d 6h 9h Jd 2s Qs Jh 5h 7h 4s Jc 8s As 6s 5s 4c Ac 9c Ks 9s];[Qc, Qd, Th, Kc, 4d];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(18) ;-8;b1[Qs, Jc]17099;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 2s 4c 9c 5c 8s As Ts Kc 3h Qh 5h 6d 3c 4h Ah 5s Ac Tc Ks Jd 2d 6s Kh 3s 9s 4d 3d 9d 8c Js Jc Jh Ad 7h 4s 8h 6c 7d 7c 2h 6h 9h 5d 2c Td Qs 7s];[Qc, Qd, Th, 2s, 4c];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[f:94,5] ;Hero{6} ;6;b1[5s, 8s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad Kc 9h Kh 5d 9c 3h As 6d Jd 5s 7c 6c 8s Qs Tc 7s 8c Ah 7h Td 6s 9s 3c 2h Js Jh 7d 6h 4c Jc Qh 4h 2s 2d 5h 4d 3s 5c Ts 3d Ac 9d Ks 2c 8h 4s];[Qc, Qd, Th, Ad, Kc];null;null;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{4} ;-4;b1[9c, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac 7d 9c Tc 4s 3h 2h 7s 9s Ks Qh 3d Ts 5c Ad Jh 3c Qs 8c 7c Jd Jc Td 2s 8s 2d 6h Ah 5s 5d 7h 4h As Kh 4c 6d 4d 6c 9h 8h Kc 9d 2c 3s 6s Js 5h];[Qc, Qd, Th, Ac, null];null;null;b1[r:7,80] Hero[f:92,7] ;null;{4} ;-4;b1[Ts, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d Ad 7d 5s 5c 3c Ts 7s 5h Ah Jc 4d 4h Jh 2c 9c 5d 3s As 4c 6c 6s 7c 9s Kc Ac Js 6h Kh 9d Jd Ks 8c 6d 8h Td 3d 2s 7h Tc 9h 3h Qs 8s 4s 2h Qh];[Qc, Qd, Th, 2d, Ad];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[f:94,5] ;Hero{6} ;6;b1[2c, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 5h 6s Ts 2h 5s 2c Ks Ac Kh 8s Ah 4s Kc Td 8h Js Jh 9h 7s 7d 4h 9d 6c 9s 2s 3d 3h 9c Qh 4d Tc 8c 5d 2d 3s Jd 3c Qs 7c Jc 7h 4c 5c 6d 6h Ad];[Qc, Qd, Th, As, 5h];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(6) ;6;b1[3h, 8h]10592;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 2s 9d 8h 3c Td As Kc Ts 8c 5d Ks 5c Tc 2c 7c 6h 9s 3s Ad 5h 9h 8s Jh 7d 3h Js 5s 6s 2h Ac 3d 4c 7s 6c 2d Kh Jc Jd Qh 6d 4d Qs 4h 7h 9c 4s Ah];[Qc, Qd, Th, 2s, 9d];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(6) ;6;b1[7h, 8h]10476;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Ks 4d 6h 5d 9s Ac 2h 6c 9h Kh Qs Ts 9d 8h 6d Tc Ad 5s 7s As 7h Qh Jd 4c 4h 3d 5h 2s 8s 5c 4s 9c Jc 8c Jh 7d 2d Kc 3c Ah 7c 2c 3s Td 3h Js 6s];[Qc, Qd, Th, Ks, 4d];null;null;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[c:0,9] ;b1(26) ;-12;b1[Js, Ad]20490;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 8c Ah Ad Ac Kc 7h Js Jd 8h Ts 2c 7d 5d 2s Jh 6h Jc 3c Ks 3s Qs Td Tc 3h Kh 7c 2d 2h 4h 5h 5s 9s 4c 7s 4s 9d As 3d 6c Qh 5c 9c 6d 4d 9h 6s 8s];[Qc, Qd, Th, 8c, Ah];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(10) ;10;b1[7s, 7d]12849;b2;Hero[8d, Kd]12860;b0
 Kd 8d Th Qd Qc] [ 6d 9s 4c As 2c 8c 8h 3c 7c 4s 2d Jd Ac 9h 2h 7s Qs 8s 7h Ah 6h 5d Ad Td 5s Jc 4d 9c 6s Kc Kh Jh Js 3h 2s Ts 6c 5c 7d Qh 3d 4h 5h 3s 9d Ks Tc];[Qc, Qd, Th, 6d, 9s];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(10) ;-4;b1[3s, 9h]12868;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 7s Ts Jh Ad 4s 4h Ac Ks 5s 7d 8s 5c Tc Kh 6c 2h 8c 7h 6h 9d 7c 9h Jd Jc 2c Qs 6s 3c 5d Qh 2d 9c 2s 3h 3d As 6d 3s Td Ah 5h 4d 4c Kc Js 8h 9s];[Qc, Qd, Th, 7s, Ts];null;null;b1[r:7,80] Hero[r:92,7] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;Hero(14) ;14;b1[8s, 7h]12878;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 2d Ah 7s 2s 4d Ts 5d 4h Qs 7h 7d Ad 2c Kc 4s 3h Jc 5s 9s 8h Td 3c As 5h 6d 3d Ac 3s 8c 6h Kh Jd Jh Tc 6s 4c 2h 7c Qh 9d Ks 5c 6c 8s 9h 9c Js];[Qc, Qd, Th, 2d, Ah];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(6) ;6;b1[7s, Js]10602;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 9s 3c 9d 5h As 2h 7c Ts 9c 8c 9h 5s 7h Ah 4h Qs Kh 6d 8h Kc 6s Td 2d Ks Ac 4s 3s 2c Ad Tc 6h 4c 3d Js Jh 5d 4d Jc Jd 2s 8s 7d 5c 7s 6c 3h Qh];[Qc, Qd, Th, 9s, 3c];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(18) ;-8;b1[As, 9d]12871;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Qs Jh Ts 8h 4h 4d Ad Kh Td Jc Kc 3h Tc As 2d 3c 5h 6h 2c 5s 6d 7s 7d 5d 9s Ks Ac 3d 5c 8s 7h 4s 3s Ah 7c 4c Js 6s 9c 8c 2s 9h 9d Qh 6c Jd 2h];[Qc, Qd, Th, Qs, null];null;null;b1[r:7,80] Hero[r:92,7] b1[f:8,5] ;null;Hero{10} ;10;b1[Ks, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 5c 5d 8s 2d 6c Jh 8c 8h 5h 4h 3h 7c 3c 6h As Kh 9d Ts 9s 6d Kc 7d 3s 7h 2s 6s 2c 3d Tc 7s 4c Ks Js 5s 2h 4s Qs Qh 9c Jd Ac Td 9h Jc Ad 4d];[Qc, Qd, Th, Ah, null];null;null;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{6} ;6;b1[7h, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kh 2h Tc Td 9s 3c 8c Qs 6h 6s Jc 9d Ts Jh 2s Js Kc 2c 6d Ac 5d 7d Qh 5c Jd 7h 9c 4h 7s 9h 5h Ad Ks 3s 2d 4c 3h 4s Ah 3d 8h 8s 4d 6c 7c 5s As];[Qc, Qd, Th, Kh, 2h];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(14) ;14;b1[2s, 4h]12793;b2;Hero[8d, Kd]13012;b0
