 Kd 8d Qs Th Qd Qc] [ 9s Jh 6d 6h Kh Jc 9d Ah 3h Qh 7h 5d 5s 6s 8c 2d Td 5h 4h 4s Js 5c 7d Ts 8s Ac 7c Kc 3s 8h 2h 9c Jd 2c 4d 3d 3c 7s As Ks 4c Ad 9h Tc 6c 2s];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:18,51] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[Js, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s Jd 6d Kh 6s As 5h 9h 8s 4d Tc 5s 7s Td Jh Ah Ac 2s 2d 3d 4h 5d 6c 9c 9d 3s 3h 2h Ts 6h 8h 2c Kc 4c 8c Ad 3c 5c 7d Js 9s Ks Qh Jc 7h 7c];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js Ac 9s Ts 4h Ah 5c 3c 7h 4c 9d 7d Qh 7c 2s 6c Kc 3s Jh 8c 7s 2h Ks 9h 5s 8s Kh 9c Td Jd Ad As 8h 4d 3h 2c 5d 6h 6s 4s 5h 3d 2d Jc Tc 6d];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[8s, 9c]20488;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 8c 3c 7c Kc 9h 5c 9d 9c 3s 5s 6s 2c 4h Qh As 9s 4d Td Kh 5d Ts 8h 6c 6h 5h Ac 8s Ks Ah Ad 4c 4s Tc 7h Jc 2s 6d 3h 2h Jh Js Jd 2d 3d 7s 7d];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(12) ;12;b1[As, Jc]17109;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 2h 2c Ks 7s 7h 4h 5s 4d 6c Kh 2d 6d 4s Jc Tc 4c 8h 6h 5c 9c Ah 3c 6s Jh 9h As 7c 8s 7d 8c Ac Ad 2s Qh 5d 3s Kc Ts 9d Td 3h 3d Jd 5h Js 9s];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[Ah, Jd]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac Jc 7c 8s 2d 3h 6d 5c 2s Jd 3c Td 3d 6c 9s 5d 7d Jh Qh 2h 6s 9d 7s 9c As Kc 4c 8h Tc Ah Ts 5s 4d 5h Ks 8c Js 9h Kh 6h 4h Ad 7h 3s 4s 2c];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[Ks, Ad]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Qh Js 3c 2c Kh 2d 8h Ac Jc 9s 6c As Tc 6h 4c Jh 7s Ad 2s 3d 6d 5h 8c 2h 9c Kc 5d Td 7d Ts 9h Ks 7h 9d 5s 8s 4h 3h 5c 4d 4s 6s 7c Jd 3s Ah];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:6,8] Hero[r:0,23] b1[r:85,14] Hero[r:0,23] b1[f:85,14] ;Hero{16} ;16;b1[9s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 5s 4s 3h 7s 9h 5d Jd 2d Ad 4d Td 3d Qh 3s 9s Kh Ac 5h 7h 9d 9c Ah 2h Js Jc Ts 2c 7c Kc As 2s 6s 6h 3c 5c Jh 4h 6d 8h 8s 7d Ks Tc 8c 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{6} ;-6;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 5c 4c 2c Ks 8s Kh Kc 6h 7d 9c 3d 9d Jd Ac 3s 7h Jc 9h Js 7c 7s 5d 4h 8c 4s 4d As 2s 8h 5h 2h Td 3c 6d 9s 2d Tc 5s 3h Jh Ts Ah Ad 6c 6s];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[r:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[5c, Ac]32900;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Jd 9c 3s 2d Ts 7d 4d 5c Kc 5h 2s As 9h 5d 3c 9d 7h Jc Ah 9s 6d 6c 4s Js Kh 6s Td 8h 2h Ks 4c Ac 7s 3d 2c Jh 7c 5s 4h 3h Ad 8s Qh 6h 8c Tc];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[Kh, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4s Jd 7d 3s 2h 5s Ad As Jc 9s 2d Ah Kc 5c 6s Td Ac 8h 6d 3d 8s 5d Ks 9h Js 5h Tc 9c 9d 8c 4d 3h 3c 6h 7h 4c Qh 7s Kh Ts 6c Jh 4h 2c 7c 2s];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[8s, 8h];b2;Hero[8d, Kd];b0
