 Kd 8d Th Qd Qc] [ Kh 7c 3d 2s Jc Qh 6s 5h Js 3s 6h 7d Jd Td Ac 8s 8h 5c 4s 9s 2d 5s Ks Jh 3c Qs 4c 5d Ts 6c 4d As 9h Kc Ad 8c 2h 4h Tc 7h 3h 9d 7s 6d 9c Ah 2c];[Qc, Qd, Th, Kh, 7c];null;null;b1[r:7,80] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(18) ;18;b1[Ts, 9c]12881;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ Jd 2c 6h 5d 7s Js 7d 4c 5s 3h 4d 3s Qh Kh 4h 9d As 5c 7h 2h 8s 8c 6c Ad 5h Tc 8h 3d Td 4s Jh 9c 2d Jc Ks Ac Qs Ts 3c 2s 9s 6d Kc 9h 7c 6s Ah];[Qc, Qd, Th, Jd, 2c];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(6) ;6;b1[6h, 7h]10510;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ Td Jd 6d 6h Jh 4c 8c As 2d 3d 7d 9h 7c 4s Js Kc 8h Ts 9s Ad 3h 4d 9c 2c Jc 4h 2s 8s 2h 5c 5d 7s Ah Kh Ks 6s 5s 6c 5h Qh Tc 9d 3c Qs 3s Ac 7h];[Qc, Qd, Th, Td, Jd];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(14) ;14;b1[7h, Ad]12882;b2;Hero[8d, Kd]25360;b0
 Kd 8d Th Qd Qc] [ Td 2d Qh 8c Ac 2s 3c 6h 8s 3s 7c 6d As 5h Kh 7d 4d 6c Kc 7s Ts 3d Tc 4s 2c 4h Jc Jh 9d Qs 5c 3h 2h 5s Ks 9c Ad 7h 9s Ah 4c 8h 6s 9h 5d Jd Js];[Qc, Qd, Th, Td, 2d];null;null;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[f:94,5] ;Hero{10} ;10;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Kh 3d 2d 6d Ts 9h 2s 4c 6h 4h Jd Ks 3s 5h 3c 6s Jh 9d Js 8h 3h Qs 5d 7h Qh Ah As 7d 7s 9s 5c 2c 9c Ad 2h 8s 4d Kc Td 6c Jc Tc 5s 8c 4s 7c];[Qc, Qd, Th, Ac, Kh];null;null;b1[c:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(10) ;-4;b1[Kh, Jc]20490;b2;Hero[8d, Kd]13014;b0
 Kd 8d Th Qd Qc] [ Kh 4c 9h 5s Td Jc 4h As 3c Ts Qs 3s 6h 3d 6d 7s 2d 6s 8s Ks 2h 2c 8h Jd 9s Tc Ad 5d Kc Qh Js 7d 6c 4d 2s 5h 7h 9d 7c Ah 4s 3h 5c 8c Ac Jh 9c];[Qc, Qd, Th, Kh, null];null;null;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{6} ;6;b1[2d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8s 8c 5h As 4s 3s 6d Td 9s 2h Jh 9h 8h 3d 3h 9c Jc Kh 7h Ad 7c 5d 7d 7s Ah 2s Ac 9d 4d Ks Ts Qh 2d Tc 6h Qs 6c 4h 5c 6s Jd 2c 4c Kc 5s Js 3c];[Qc, Qd, Th, 8s, 8c];null;null;b1[c:7,80] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,87] ;Hero(10) ;10;b1[5d, Td]12878;b2;Hero[8d, Kd]28754;b0
 Kd 8d Th Qd Qc] [ Tc 9c 4h Td Ts 7d 4c 5c 8s 9s Ks 9h 4d 4s 3c 3h Ac 3d 7h 2s 3s 2d 5h Kc Kh 6c As 8c 2h Jc Qs Jh Jd 6s 2c 9d 7c 6h Ah 7s Ad 8h 5s 6d Qh Js 5d];[Qc, Qd, Th, Tc, 9c];null;null;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(6) ;6;b1[4h, 6h]12879;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ Js 2h 9s Ks Ac 4h Td 2d 8h 2s 7s 9h Kh 6s 9c 2c Jh Ah 9d 6h As 5s 4d 8s Jc 4c Qs 5h Qh 7c 3h Ad 7d 5c Kc Ts Jd 3c 7h 3d 6d 6c 3s 8c 4s 5d Tc];[Qc, Qd, Th, Js, 2h];null;null;b1[c:8,5] Hero[r:0,16] b1[r:87,9] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(14) ;14;b1[6h, 5d]10509;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 2s Ts Qs Ks 9c 9h Qh 4h Ad Jc Kc 4d 7s Ac 3s Kh 3d Js 8c 4c 5h 2h 2d 6s 9s 8h 7c 3h Ah Jd 8s 2c 5c 6c 5d 4s 6h 7h As Tc 5s 6d Jh Td 9d 3c 7d];[Qc, Qd, Th, 2s, null];null;null;b1[r:8,5] Hero[f:92,7] ;null;{4} ;-4;b1[8h, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 9h 5s 2h 4s 3c Qh 2d 3d 7d 5d 6d 4h 8c Ts 6h 7h Kh Kc Ad Js 4d 2s 4c 3s Jh 5c Tc 9c 9d As Qs 6c 2c Ah 7s Td 9s Jc Jd 8h 5h Ks 7c 8s Ac 6s];[Qc, Qd, Th, 3h, null];null;null;b1[r:7,80] Hero[r:3,88] b1[f:8,5] ;null;Hero{10} ;10;b1[Js, Jc];b2;Hero[8d, Kd];b0
